transacted_at,trx_id,retailer_id,description,amount,city_id
2017-11-24T19:00:00.000Z,1995601912,2077350195,Walgreen       11-25,197.23,216510442
2017-11-24T19:00:00.000Z,1734117021,644879053,unkn    ppd id: 768641     11-26,8.58,930259917
2017-11-24T19:00:00.000Z,1734117022,847200066,Wal-Mart  ppd id: 555914     Algiers    11-26,1737.26,1646415505
2017-11-24T19:00:00.000Z,1734117030,1953761884,Home Depot     ppd id: 265293   11-25,384.5,287177635
2017-11-24T19:00:00.000Z,1734117089,1898522855,Target        11-25,66.33,1855530529
2017-11-24T19:00:00.000Z,1734117117,997626433,Sears  ppd id: 856095  Ashgabat,298.87,957346984
2017-11-24T19:00:00.000Z,1734117123,1953761884,unkn   ppd id: 153174    Little Rock    11-25,19.55,45522086
2017-11-24T19:00:00.000Z,1734117152,1429095612,Ikea     arc id: 527956  Saint John's   11-26,9.39,1268541279
2017-11-24T19:00:00.000Z,1734117153,847200066,unkn        Kingstown,2907.57,1483931123
2017-11-24T19:00:00.000Z,1734117212,1996661856,unkn    ppd id: 454437   11-24,140.38,336763936
2017-11-24T19:00:00.000Z,1734117241,486576507,iTunes,2912.67,1663872965
2017-11-24T19:00:00.000Z,2076947148,847200066,Wal-Mart         11-24,62.83,1556600840
2017-11-24T19:00:00.000Z,2076947147,562903918,McDonald's    ccd id: 135878  Ljubljana   11-24,31.37,930259917
2017-11-24T19:00:00.000Z,2076947146,511877722,unkn     ccd id: 598521     Ankara   11-26,1915.35,1698762556
2017-11-24T19:00:00.000Z,2076947113,1996661856,AutoZone  arc id: 998454    11-25,1523.6,1759612211
2017-11-24T19:00:00.000Z,2076947018,902350112,DineEquity    arc id: 1075293,22.28,2130657559
2017-11-24T19:00:00.000Z,2076946994,1898522855,Target    ppd id: 336785,2589.93,2074005445
2017-11-24T19:00:00.000Z,2076946985,847200066,Wal-Mart    ppd id: 252763  11-26,42.2,459344513
2017-11-24T19:00:00.000Z,2076946960,386167994,Wendy's  ppd id: 881511     11-24,14.62,352952442
2017-11-24T19:00:00.000Z,2076946954,486576507,iTunes     ppd id: 121397,37.42,485114748
2017-11-24T19:00:00.000Z,2076946899,644879053,unkn     ccd id: 499652,91.91,2068475652
2017-11-24T19:00:00.000Z,2076946148,847200066,Wal-Mart   ccd id: 747774   Jackson     11-24,11.16,559832710
2017-11-24T19:00:00.000Z,2076946122,486576507,unkn,14.4,2096878759
2017-11-24T19:00:00.000Z,2076946121,562903918,unkn    ccd id: 513762     Taipei,315.86,1773943669
2017-11-24T19:00:00.000Z,2076946119,1898522855,unkn    ppd id: 551323     Columbia,24.9,481821583
2017-11-24T19:00:00.000Z,2076946090,683159064,Safeway   ccd id: 513049   Kyiv,0.73,512325085
2017-11-24T19:00:00.000Z,2076946063,1070485878,Amazon.com   arc id: 575807  11-26,785.27,1126623009
2017-11-24T19:00:00.000Z,2076946062,400404203,unkn,18.13,1345953582
2017-11-24T19:00:00.000Z,2076946030,1522061472,YUM! Brands     ppd id: 482576     Andorra la Vella     11-24,28.47,2008587661
2017-11-24T19:00:00.000Z,2076945971,2139149619,unkn     arc id: 918355   Yamoussoukro,4.7,218089872
2017-11-24T19:00:00.000Z,2076945966,562903918,McDonald's,49.45,149195426
2017-11-24T19:00:00.000Z,2076945932,87529419,Albertsons  arc id: 539900  Augusta,284.16,1813967666
2017-11-24T19:00:00.000Z,2076945195,562903918,unkn       Harrisburg,165.75,216135201
2017-11-24T19:00:00.000Z,2076945157,354400420,Subway  ccd id: 148330,37.97,197271663
2017-11-24T19:00:00.000Z,2076945156,562903918,McDonald's  ccd id: 242713  Raleigh,119.4,576697624
2017-11-24T19:00:00.000Z,2076945132,83040202,GameStop    arc id: 904612     11-26,242.75,870108334
2017-11-24T19:00:00.000Z,2076945102,1638818160,AVB Brandsource   ppd id: 140285    Baton Rouge,1.86,485114748
2017-11-24T19:00:00.000Z,2076945098,2139149619,Trader Joe's       Bangui     11-25,114.17,7441192
2017-11-24T19:00:00.000Z,2076944979,1654681099,Delhaize America  ppd id: 660396    Wellington,303.1,1243655802
2017-11-24T19:00:00.000Z,2076944972,143327090,Menard  ppd id: 531402,31.62,2068475652
2017-11-24T19:00:00.000Z,2076944944,847200066,Wal-Mart     arc id: 490561,43.72,365900539
2017-11-24T19:00:00.000Z,2076944941,1157343460,unkn    ppd id: 1024716,2853.33,1141716004
2017-11-24T19:00:00.000Z,2076944228,1522061472,YUM! Brands,1737.45,592064091
2017-11-24T19:00:00.000Z,2076944201,1070485878,unkn     ccd id: 189108,33.47,115209716
2017-11-24T19:00:00.000Z,2076944195,1070485878,unkn   ppd id: 116659,2440.55,1525790470
2017-11-24T19:00:00.000Z,2076944142,847200066,Wal-Mart  ppd id: 1066319     Jefferson City,331.63,1345953582
2017-11-24T19:00:00.000Z,2076944136,2001148981,Costco,55.63,352952442
2017-11-24T19:00:00.000Z,2076944111,400404203,unkn   ccd id: 312937    Salem,65.57,455476705
2017-11-24T19:00:00.000Z,2076944073,2077350195,Walgreen     arc id: 203214  Cheyenne,396.9,2001708947
2017-11-24T19:00:00.000Z,2076943305,400404203,CVS  arc id: 1053319  Panama City,13.73,380143978
2017-11-24T19:00:00.000Z,2076943300,1468277998,Alimentation Couche-Tard     ppd id: 736350    11-24,252.83,831124332
2017-11-24T19:00:00.000Z,2076943298,1070485878,Amazon.com     ccd id: 940204,15.5,31398417
2017-11-24T19:00:00.000Z,2076943296,847200066,unkn     ccd id: 677180,145.65,1602735059
2017-11-24T19:00:00.000Z,2076943272,2077350195,Walgreen  ccd id: 960661,68.8,2068475652
